X,Y,Numerical Solution (in K)
0.0606061,0.464646,99.797
0.0606061,0.474747,99.7964
0.0606061,0.484848,99.7961
0.0606061,0.494949,99.796
0.0606061,0.505051,99.7961
0.0606061,0.515152,99.7964
0.0606061,0.525253,99.797
0.0606061,0.535354,99.7977
0.0606061,0.545455,99.7986
0.0606061,0.555556,99.7997
0.0606061,0.565657,99.801
0.0606061,0.575758,99.8026
0.0606061,0.585859,99.8043
0.0606061,0.59596,99.8062
0.0606061,0.606061,99.8083
0.0606061,0.616162,99.8106
0.0606061,0.626263,99.8131
0.0606061,0.636364,99.8157
0.0606061,0.646465,99.8186
0.0606061,0.656566,99.8216
0.0606061,0.666667,99.8248
0.0606061,0.676768,99.8282
0.0606061,0.686869,99.8318
0.0606061,0.69697,99.8355
0.0606061,0.707071,99.8394
0.0606061,0.717172,99.8434
0.0606061,0.727273,99.8476
0.0606061,0.737374,99.8519
0.0606061,0.747475,99.8564
0.0606061,0.757576,99.8611
0.0606061,0.767677,99.8658
0.0606061,0.777778,99.8707
0.0606061,0.787879,99.8757
0.0606061,0.79798,99.8809
0.0606061,0.808081,99.8861
0.0606061,0.818182,99.8915
0.0606061,0.828283,99.8969
0.0606061,0.838384,99.9025
0.0606061,0.848485,99.9082
0.0606061,0.858586,99.9139
0.0606061,0.868687,99.9197
0.0606061,0.878788,99.9256
0.0606061,0.888889,99.9316
0.0606061,0.89899,99.9376
0.0606061,0.909091,99.9437
0.0606061,0.919192,99.9498
0.0606061,0.929293,99.956
0.0606061,0.939394,99.9622
0.0606061,0.949495,99.9685
0.0606061,0.959596,99.9748
0.0606061,0.969697,99.9811
0.0606061,0.979798,99.9874
0.0606061,0.989899,99.9937
0.0606061,1,100
0.0707071,0,100
0.0707071,0.010101,99.9923
0.0707071,0.020202,99.9846
0.0707071,0.030303,99.9769
0.0707071,0.040404,99.9693
0.0707071,0.0505051,99.9617
0.0707071,0.0606061,99.9541
0.0707071,0.0707071,99.9466
0.0707071,0.0808081,99.9391
0.0707071,0.0909091,99.9318
0.0707071,0.10101,99.9245
0.0707071,0.111111,99.9173
0.0707071,0.121212,99.9101
0.0707071,0.131313,99.9031
0.0707071,0.141414,99.8962
0.0707071,0.151515,99.8894
0.0707071,0.161616,99.8827
0.0707071,0.171717,99.8761
0.0707071,0.181818,99.8697
0.0707071,0.191919,99.8634
0.0707071,0.20202,99.8572
0.0707071,0.212121,99.8512
0.0707071,0.222222,99.8453
0.0707071,0.232323,99.8397
0.0707071,0.242424,99.8341
0.0707071,0.252525,99.8288
0.0707071,0.262626,99.8236
0.0707071,0.272727,99.8186
0.0707071,0.282828,99.8138
0.0707071,0.292929,99.8092
0.0707071,0.30303,99.8048
0.0707071,0.313131,99.8006
0.0707071,0.323232,99.7966
0.0707071,0.333333,99.7928
0.0707071,0.343434,99.7892
0.0707071,0.353535,99.7858
0.0707071,0.363636,99.7827
0.0707071,0.373737,99.7798
0.0707071,0.383838,99.777
0.0707071,0.393939,99.7746
0.0707071,0.40404,99.7723
0.0707071,0.414141,99.7703
0.0707071,0.424242,99.7685
0.0707071,0.434343,99.767
0.0707071,0.444444,99.7657
0.0707071,0.454545,99.7646
0.0707071,0.464646,99.7638
0.0707071,0.474747,99.7632
0.0707071,0.484848,99.7628
0.0707071,0.494949,99.7627
0.0707071,0.505051,99.7628
0.0707071,0.515152,99.7632
0.0707071,0.525253,99.7637
0.0707071,0.535354,99.7646
0.0707071,0.545455,99.7657
0.0707071,0.555556,99.767
0.0707071,0.565657,99.7685
0.0707071,0.575758,99.7703
0.0707071,0.585859,99.7723
0.0707071,0.59596,99.7745
0.0707071,0.606061,99.7769
0.0707071,0.616162,99.7796
0.0707071,0.626263,99.7825
0.0707071,0.636364,99.7856
0.0707071,0.646465,99.7889
0.0707071,0.656566,99.7925
0.0707071,0.666667,99.7962
0.0707071,0.676768,99.8001
0.0707071,0.686869,99.8043
0.0707071,0.69697,99.8086
0.0707071,0.707071,99.8131
0.0707071,0.717172,99.8178
0.0707071,0.727273,99.8227
0.0707071,0.737374,99.8277
0.0707071,0.747475,99.833
0.0707071,0.757576,99.8383
0.0707071,0.767677,99.8439
0.0707071,0.777778,99.8496
0.0707071,0.787879,99.8554
0.0707071,0.79798,99.8614
0.0707071,0.808081,99.8675
0.0707071,0.818182,99.8737
0.0707071,0.828283,99.8801
0.0707071,0.838384,99.8866
0.0707071,0.848485,99.8931
0.0707071,0.858586,99.8998
0.0707071,0.868687,99.9066
0.0707071,0.878788,99.9135
0.0707071,0.888889,99.9204
0.0707071,0.89899,99.9274
0.0707071,0.909091,99.9345
0.0707071,0.919192,99.9416
0.0707071,0.929293,99.9488
0.0707071,0.939394,99.9561
0.0707071,0.949495,99.9633
0.0707071,0.959596,99.9706
0.0707071,0.969697,99.978
0.0707071,0.979798,99.9853
0.0707071,0.989899,99.9927
0.0707071,1,100
0.0808081,0,100
0.0808081,0.010101,99.9912
0.0808081,0.020202,99.9824
0.0808081,0.030303,99.9737
0.0808081,0.040404,99.965
0.0808081,0.0505051,99.9563
0.0808081,0.0606061,99.9477
0.0808081,0.0707071,99.9391
0.0808081,0.0808081,99.9307
0.0808081,0.0909091,99.9223
0.0808081,0.10101,99.9139
0.0808081,0.111111,99.9057
0.0808081,0.121212,99.8976
0.0808081,0.131313,99.8896
0.0808081,0.141414,99.8817
0.0808081,0.151515,99.8739
0.0808081,0.161616,99.8663
0.0808081,0.171717,99.8588
0.0808081,0.181818,99.8515
0.0808081,0.191919,99.8443
0.0808081,0.20202,99.8373
0.0808081,0.212121,99.8305
0.0808081,0.222222,99.8238
0.0808081,0.232323,99.8173
0.0808081,0.242424,99.811
0.0808081,0.252525,99.8049
0.0808081,0.262626,99.799
0.0808081,0.272727,99.7933
0.0808081,0.282828,99.7879
0.0808081,0.292929,99.7826
0.0808081,0.30303,99.7776
0.0808081,0.313131,99.7728
0.0808081,0.323232,99.7682
0.0808081,0.333333,99.7639
0.0808081,0.343434,99.7598
0.0808081,0.353535,99.756
0.0808081,0.363636,99.7524
0.0808081,0.373737,99.749
0.0808081,0.383838,99.746
0.0808081,0.393939,99.7431
0.0808081,0.40404,99.7406
0.0808081,0.414141,99.7383
0.0808081,0.424242,99.7363
0.0808081,0.434343,99.7345
0.0808081,0.444444,99.733
0.0808081,0.454545,99.7318
0.0808081,0.464646,99.7308
